id,username,ip,country,isp,asn,risk_score,classification,threat_summary,recommendations,abuse_score,vt_detections,date,source
12,koyyada_rohith,1.1.1.1,Australia,"Cloudflare, Inc",AS13335,0,Safe,"The investigated IP address (1.1.1.1) is classified as SAFE with an aggregate risk score of 0/100. Reputation profiling indicates this IP belongs to a reputable infrastructure provider, 'Cloudflare, Inc' (AS13335) located in Australia. Neither AbuseIPDB (223 reports) nor VirusTotal security engines (0/91 detections) indicate any active compromise or threat vectors. Communication with this IP is considered low risk.",Allow Communication; Standard Monitoring; No Policy Changes,0,0,2026-06-05T10:21:49.982464,Bulk_Set-1_txt_20260605_102242
13,koyyada_rohith,45.142.212.100,Moldova,WorkTitans B.V.,AS209847,13,Safe,"The investigated IP address (45.142.212.100) is classified as SAFE with an aggregate risk score of 13/100. Reputation profiling indicates this IP belongs to a reputable infrastructure provider, 'WorkTitans B.V.' (AS209847) located in Moldova. Neither AbuseIPDB (0 reports) nor VirusTotal security engines (13/91 detections) indicate any active compromise or threat vectors. Communication with this IP is considered low risk.",Allow Communication; Standard Monitoring; No Policy Changes,0,13,2026-06-05T10:21:52.493474,Bulk_Set-1_txt_20260605_102242
14,koyyada_rohith,198.51.100.25,Romania,TEST-NET-2,Unknown,0,Safe,"The investigated IP address (198.51.100.25) is classified as SAFE with an aggregate risk score of 0/100. Reputation profiling indicates this IP belongs to a reputable infrastructure provider, 'TEST-NET-2' () located in Romania. Neither AbuseIPDB (0 reports) nor VirusTotal security engines (0/91 detections) indicate any active compromise or threat vectors. Communication with this IP is considered low risk.",Allow Communication; Standard Monitoring; No Policy Changes,0,0,2026-06-05T10:21:54.960488,Bulk_Set-1_txt_20260605_102242
15,koyyada_rohith,203.0.113.10,United States,TEST-NET-3,Unknown,0,Safe,"The investigated IP address (203.0.113.10) is classified as SAFE with an aggregate risk score of 0/100. Reputation profiling indicates this IP belongs to a reputable infrastructure provider, 'TEST-NET-3' () located in United States. Neither AbuseIPDB (1 reports) nor VirusTotal security engines (0/91 detections) indicate any active compromise or threat vectors. Communication with this IP is considered low risk.",Allow Communication; Standard Monitoring; No Policy Changes,0,0,2026-06-05T10:21:57.444200,Bulk_Set-1_txt_20260605_102242
16,koyyada_rohith,45.33.32.156,United States,"Akamai Technologies, Inc.",AS63949,15,Safe,"The investigated IP address (45.33.32.156) is classified as SAFE with an aggregate risk score of 15/100. Reputation profiling indicates this IP belongs to a reputable infrastructure provider, 'Akamai Technologies, Inc.' (AS63949) located in United States. Neither AbuseIPDB (4 reports) nor VirusTotal security engines (3/91 detections) indicate any active compromise or threat vectors. Communication with this IP is considered low risk.",Allow Communication; Standard Monitoring; No Policy Changes,12,3,2026-06-05T10:22:00.093257,Bulk_Set-1_txt_20260605_102242
17,koyyada_rohith,8.8.8.8,United States,Google LLC,AS15169,0,Safe,"The investigated IP address (8.8.8.8) is classified as SAFE with an aggregate risk score of 0/100. Reputation profiling indicates this IP belongs to a reputable infrastructure provider, 'Google LLC' (AS15169) located in United States. Neither AbuseIPDB (117 reports) nor VirusTotal security engines (0/91 detections) indicate any active compromise or threat vectors. Communication with this IP is considered low risk.",Allow Communication; Standard Monitoring; No Policy Changes,0,0,2026-06-05T10:22:11.381882,Bulk_Set-1_txt_20260605_102242
18,koyyada_rohith,185.220.101.45,Germany,Stiftung Erneuerbare Freiheit,AS60729,68,Malicious,"CRITICAL THREAT DETECTED: The IP address 185.220.101.45 is classified as MALICIOUS with a severe risk score of 68/100. Infrastructure analysis associates this IP with 'Stiftung Erneuerbare Freiheit' (AS60729) operating in Germany. AbuseIPDB report database correlates an active abuse score of 100% with 116 security violations. Furthermore, VirusTotal reports severe warnings with 46/89 AV engines flags (exhibiting ddos, brute-force, malware-distribution). This IP is confirmed to be part of a malicious network node involved in unauthorized access attempts, botnet operations, or malware propagation. Immediate isolation is advised.",Block IP Address; Apply Null Route (Null0); Quarantine & Inspect Hosts; Escalate to Incident Response,100,46,2026-06-05T10:22:20.385995,Bulk_Set-1_txt_20260605_102242
19,koyyada_rohith,194.165.16.11,Lithuania,Flyservers S.A.,AS48721,58,Suspicious,"The investigated IP address (194.165.16.11) is classified as SUSPICIOUS with an aggregate risk score of 58/100. It is registered under 'Flyservers S.A.' (AS48721) in Lithuania and operates as a 'Data Center/Web Hosting/Transit'. AbuseIPDB reputation reports an abuse confidence score of 100% based on 223 reports over the last 90 days. VirusTotal detected suspicious activity across 0 threat intelligence feeds. The IP is likely used as a public VPN proxy, crawling agent, or shared hosting node, warranting proactive network monitoring.",Monitor Port Connections; Add to Active Watchlist; Review Internal Traffic,100,0,2026-06-05T10:22:26.794338,Bulk_Set-1_txt_20260605_102242
20,koyyada_rohith,13.107.42.14,Canada,Microsoft Corporation,AS8068,8,Safe,"The investigated IP address (13.107.42.14) is classified as SAFE with an aggregate risk score of 8/100. Reputation profiling indicates this IP belongs to a reputable infrastructure provider, 'Microsoft Corporation' (AS8068) located in Canada. Neither AbuseIPDB (0 reports) nor VirusTotal security engines (0/91 detections) indicate any active compromise or threat vectors. Communication with this IP is considered low risk.",Allow Communication; Standard Monitoring; No Policy Changes,0,0,2026-06-05T10:22:35.603593,Bulk_Set-1_txt_20260605_102242
21,koyyada_rohith,192.0.2.44,United States,China Unicom,AS4837,8,Safe,"The investigated IP address (192.0.2.44) is classified as SAFE with an aggregate risk score of 8/100. Reputation profiling indicates this IP belongs to a reputable infrastructure provider, 'China Unicom' (AS4837) located in United States. Neither AbuseIPDB (0 reports) nor VirusTotal security engines (21/89 detections) indicate any active compromise or threat vectors. Communication with this IP is considered low risk.",Allow Communication; Standard Monitoring; No Policy Changes,0,21,2026-06-05T10:22:41.930792,Bulk_Set-1_txt_20260605_102242
